,numbers,log_freq,predictions_max_approx,predictions_add_approx,R2
76,77,-0.5575145118762483,-0.7077647877720321,-0.5946017565223184,0.0
77,78,-0.5029226198844041,-0.5116175579723229,-0.49857635047029153,0.0
78,79,-0.6147164405543536,-0.6986833375919468,-0.6539012302209285,0.0
79,80,0.6901333158301683,0.7659110802950552,0.7403144888822478,0.0
80,81,-0.5676614936903389,-0.39521692671058917,-0.5069131494531546,0.0
81,82,-0.5414861121017185,-0.5810688056692581,-0.562461506945548,0.0
82,83,-0.5823090330206725,-0.7665620441579918,-0.6681131481143673,0.0
83,84,-0.4922647023961243,-0.47709133898090544,-0.3973332476555163,0.0
84,85,-0.2645738359026888,-0.47011671815293116,-0.5553181165969386,0.0
85,86,-0.5866298756160788,-0.6546923962859111,-0.5818635451358916,0.0
86,87,-0.6140692788716468,-0.6471895998529051,-0.6306869904113882,0.0
