,number,lang,word,mean_freq,matched_word,mean_dash_freq,has_dash,mean_total_freq,corrected_total_freq,about_word,exactly_word,mean_freq_about,mean_freq_exactly,log_freq_about,log_freq_exactly,log_freq,log_freq_uncorrected,arabic_number,mult10,mult7,mult5,mult3,mult2,exp2,exp3,exp5,exp7,exp10,log10
31,32,en,thirty-two,1.428164788800738,thirty - two,5.181603615024049e-08,True,1.428164788800738,1.428164788800738,about thirty-two,exactly thirty-two,0.02031262969590925,0.0006590389470534472,-1.6922338487028774,-3.181088919259415,0.1547783214022071,0.1547783214022071,,0,0,0,0,1,5,0,0,0,0,1.505149978319906
32,33,en,thirty-three,1.0762513790152797,thirty - three,4.207484504594477e-08,True,1.0762513790152797,1.0762513790152797,about thirty-three,exactly thirty-three,0.016026459723587225,0.00047475278215772297,-1.795162403554704,-3.323532481520473,0.03191372092939316,0.03191372092939316,,0,0,0,1,0,0,1,0,0,0,1.5185139398778875
33,34,en,thirty-four,0.9269327123030391,thirty - four,3.132300470414806e-08,True,0.9269327123030391,0.9269327123030391,about thirty-four,exactly thirty-four,0.011643723902266196,0.0004585434730721226,-1.9339081011672599,-3.3386194839409096,-0.0329517909214441,-0.0329517909214441,,0,0,0,0,1,1,0,0,0,0,1.5314789170422551
34,35,en,thirty-five,2.677034596369291,thirty - five,8.804078734892844e-08,True,2.677034596369291,2.677034596369291,about thirty-five,exactly thirty-five,0.13526517687198208,0.0010951054812424537,-0.868813995264132,-2.9605440472939533,0.42765398378132546,0.42765398378132546,,0,1,1,0,0,0,0,1,1,0,1.5440680443502757
35,36,en,thirty-six,1.4818835650515336,thirty - six,5.106419193372644e-08,True,1.4818835650515336,1.4818835650515336,about thirty-six,exactly thirty-six,0.026155452496656083,0.0006459540507333933,-1.5824377621553405,-3.1897983739904814,0.17081408148261323,0.17081408148261323,,0,0,0,1,1,2,2,0,0,0,1.5563025007672873
36,37,en,thirty-seven,0.817706591658184,thirty - seven,3.179519378936586e-08,True,0.817706591658184,0.817706591658184,about thirty-seven,exactly thirty-seven,0.010902769110190565,0.0004513640864934212,-1.9624631849454417,-3.34547299921975,-0.0874025013193906,-0.0874025013193906,,0,0,0,0,0,0,0,0,0,0,1.568201724066995
37,38,en,thirty-eight,0.823565747119645,thirty - eight,2.886324211445691e-08,True,0.823565747119645,0.823565747119645,about thirty-eight,exactly thirty-eight,0.012448900263580875,0.0003350986430741015,-1.9048690124681464,-3.474827330764022,-0.08430172439770858,-0.08430172439770858,,0,0,0,0,1,1,0,0,0,0,1.5797835966168101
38,39,en,thirty-nine,0.6894362828086955,thirty - nine,2.2568946345767043e-08,True,0.6894362828086955,0.6894362828086955,about thirty-nine,exactly thirty-nine,0.0048032011483646955,0.00028755700122260955,-2.3184692256042974,-3.5412760540605857,-0.16150586480830625,-0.16150586480830625,,0,0,0,1,0,0,1,0,0,0,1.591064607026499
39,40,en,forty,24.370650827026395,forty,0.0,False,24.370650827026395,16.16345340335993,about forty,exactly forty,0.8688306018163584,0.011421339873862735,-0.06106489083312279,-1.942282944628574,1.2085341555593787,1.3868671273304798,,1,0,1,0,1,3,0,1,0,1,1.6020599913279623
40,41,en,forty-one,0.6052635211851927,forty - one,2.259055823451624e-08,True,0.6052635211851927,0.6052635211851927,about forty-one,exactly forty-one,0.0038191114845761496,0.0003133275108595425,-2.4180376638498937,-3.5040014714127286,-0.21805549992748982,-0.21805549992748982,,0,0,0,0,0,0,0,0,0,0,1.6127838567197355
41,42,en,forty-two,0.8731985125379259,forty - two,2.699066970795265e-08,True,0.8731985125379259,0.8731985125379259,about forty-two,exactly forty-two,0.01066916877285971,0.000670068720417157,-1.9718694148231768,-3.17388065495961,-0.05888701276720561,-0.05888701276720561,,0,1,0,1,1,1,1,0,1,0,1.6232492903979006
42,43,en,forty-three,0.612667816749665,forty - three,2.1593063441868895e-08,True,0.612667816749665,0.612667816749665,about forty-three,exactly forty-three,0.006902341970314074,0.00034188646399218816,-2.161003527782684,-3.4661180934996074,-0.2127749324232733,-0.2127749324232733,,0,0,0,0,0,0,0,0,0,0,1.6334684555795864
43,44,en,forty-four,0.7379689341356496,forty - four,2.184646018772092e-08,True,0.7379689341356496,0.7379689341356496,about forty-four,exactly forty-four,0.0075244214432153315,0.0002551329354074388,-2.1235268875851108,-3.5932334741913396,-0.1319619200434028,-0.1319619200434028,,0,0,0,0,1,2,0,0,0,0,1.6434526764861874
44,45,en,forty-five,2.1929660346466013,forty - five,5.7806500396897235e-08,True,2.1929660346466013,2.1929660346466013,about forty-five,exactly forty-five,0.10967006161598536,0.0012492570986392267,-0.9599119125301655,-2.9033481740918305,0.3410319052389501,0.3410319052389501,,0,0,1,1,0,0,2,1,0,0,1.6532125137753437
