,numbers,log_freq,predictions,R2
87,88,-0.6150854155186903,-0.6699126927394768,0.8579469261877455
88,89,-0.7046941488514084,-0.8778368672499786,0.8579469261877455
89,90,0.674696285123554,-0.46198851822897513,0.8579469261877455
90,91,-0.7071090921042659,-0.6699126927394768,0.8579469261877455
91,92,-0.6227809302500553,-0.8116314364582113,0.8579469261877455
92,93,-0.7273570607458452,-0.6699126927394768,0.8579469261877455
93,94,-0.7323839973701446,-0.8778368672499786,0.8579469261877455
94,95,-0.4346400688030502,-0.6699126927394768,0.8579469261877455
95,96,-0.5932874155333441,-0.4619885182289752,0.8579469261877455
96,97,-0.7701156951005212,-0.6699126927394768,0.8579469261877455
97,98,-0.7132008460527013,-0.8116314364582115,0.8579469261877455
98,99,-0.3825222269359439,-0.8116314364582113,0.8579469261877455
